month_date_yyyymm,postal_code,zip_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202602,20017,"washington, dc",554975.0,-0.0347,-0.0645,52,-0.1186,0.0612,69.0,-0.0616,-0.0552,20,0.6667,0.0,0,,,0.0,0.0,0.0,6.0,-0.5,-0.5,0.0701,-0.0632,-0.0583,23.0,0.1842,-0.2105,436.0,-0.005,-0.073,1410.0,-0.0556,0.0838,586542.0,-0.0269,-0.0873,75,-0.0385,-0.0323,0.4327,0.1107,-0.1489,0.0
202602,20036,"washington, dc",335000.0,0.0,-0.1377,37,-0.0875,0.1061,109.0,0.1421,0.9462,4,0.0,-0.75,0,,,0.0,0.0,0.0,8.0,0.0,1.0,0.1678,0.0196,0.1035,5.0,0.5,-0.625,574.0,-0.0131,-0.0501,655.0,0.0548,-0.0128,1004726.0,0.0487,-0.3974,41,-0.0465,-0.0889,0.1233,0.0483,-0.2403,1.0
202602,20020,"washington, dc",349500.0,-0.0014,-0.068,166,-0.0568,0.2576,80.0,-0.0881,0.0,54,0.5,0.1739,6,0.5,0.5,0.0216,0.0063,0.0039,22.0,-0.3889,-0.3889,0.0778,-0.0674,-0.0782,58.0,0.369,0.25,258.0,0.0005,-0.0558,1269.0,0.0085,0.0573,381488.0,-0.024,-0.0638,222,0.0183,0.2437,0.3464,0.1077,-0.0021,0.0
202602,20037,"washington, dc",686375.0,0.1538,-0.0088,95,0.125,-0.0825,67.0,-0.2267,-0.1474,32,0.6,0.3333,0,,,0.0,0.0,0.0,18.0,3.5,0.0,0.1195,0.0844,-0.0002,19.0,0.1563,-0.26,684.0,0.0183,0.0024,1065.0,0.0524,-0.0729,953570.0,0.1591,-0.1752,114,0.1465,-0.1028,0.1958,0.0053,-0.047,0.0
202602,20019,"washington, dc",398175.0,-0.0021,-0.0574,120,-0.0977,-0.0083,78.0,0.0131,0.4976,30,-0.0625,-0.3478,2,-0.5,-0.6667,0.0094,-0.0068,-0.015,36.0,0.5,-0.0526,0.1731,0.0664,0.02,59.0,-0.0923,-0.2338,264.0,-0.0162,-0.1317,1316.0,0.0011,0.0647,400072.0,0.0072,-0.0521,178,-0.0872,-0.101,0.4917,0.0029,-0.1447,0.0
202602,20001,"washington, dc",656150.0,-0.0421,-0.0563,167,-0.067,-0.0696,58.0,-0.2075,0.2135,60,0.25,-0.1176,0,,,0.0,0.0,0.0,34.0,0.7,-0.2273,0.1166,0.0436,-0.0386,51.0,0.3784,0.0737,614.0,0.0077,-0.004,1137.0,-0.028,-0.0344,853910.0,0.009,0.0221,221,0.0256,-0.0329,0.3054,0.0987,0.0408,0.0
202602,20002,"washington, dc",577450.0,0.0043,-0.1115,258,0.0198,-0.1717,44.0,-0.3587,-0.0684,102,0.4167,-0.15,0,,-1.0,0.0,0.0,-0.0036,48.0,0.0909,-0.3684,0.1099,-0.0084,-0.0328,75.0,0.1641,-0.2767,493.0,0.0097,-0.0065,1319.0,-0.0258,-0.0592,666268.0,-0.0035,-0.0881,334,0.057,-0.1923,0.2888,0.0358,-0.0419,1.0
202602,20011,"washington, dc",649450.0,-0.0007,-0.0122,185,-0.0391,-0.167,53.0,-0.2553,-0.1393,58,0.2083,-0.1471,0,,,0.0,0.0,0.0,48.0,0.3333,-0.2258,0.1601,0.0355,-0.0143,57.0,-0.0259,-0.2416,403.0,-0.012,-0.1041,1611.0,-0.0165,0.0697,695589.0,-0.0447,-0.0081,241,-0.0512,-0.1858,0.3062,0.0041,-0.0301,0.0
202602,20032,"washington, dc",349500.0,-0.029,-0.1261,78,-0.025,0.2787,96.0,0.0847,0.641,24,0.0,0.2,2,,,0.0146,0.0146,0.0146,10.0,-0.375,-0.5,0.0755,-0.0556,-0.1168,34.0,0.0469,0.4255,227.0,0.0288,-0.1218,1409.0,-0.0168,-0.0619,323499.0,-0.0084,-0.0916,113,0.0135,0.3314,0.4295,0.0295,0.0442,1.0
202601,20007,"washington, dc",1210000.0,-0.0545,-0.2774,109,-0.084,0.0235,79.0,0.264,0.1835,24,0.2,-0.52,0,,,0.0,0.0,0.0,12.0,-0.1429,0.0,0.0652,-0.0155,0.0035,24.0,-0.2836,-0.0943,725.0,0.0066,-0.0422,1456.0,-0.0351,-0.2697,1976716.0,0.007,-0.2613,132,-0.1344,0.0,0.2202,-0.0613,-0.0286,1.0
202601,20009,"washington, dc",558900.0,0.0666,-0.1402,160,-0.1645,-0.0751,78.0,-0.0545,0.04,40,0.8182,-0.5122,0,,-1.0,0.0,0.0,-0.0079,20.0,0.0,-0.2857,0.0826,0.0053,-0.0138,47.0,-0.06,-0.0309,635.0,0.015,-0.0647,875.0,0.0011,-0.0787,917489.0,0.0846,-0.0628,204,-0.1535,-0.079,0.2938,0.0327,0.0134,1.0
