month_date_yyyymm,postal_code,zip_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202603,99929,"wrangell, ak",365000.0,-0.0759,-0.0162,14,0.125,0.125,76.0,-0.1508,0.1692,2,0.0,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,-0.3333,322.0,-0.0407,0.0844,1440.0,0.0005,-0.0217,427300.0,-0.0343,0.083,15,0.1538,0.25,0.0741,-0.0093,-0.0509,0.0
202603,99714,"salcha, ak",449900.0,-0.122,0.2854,3,0.2,0.0,210.0,0.4416,1.8733,2,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,4.0,0.1429,3.0,170.0,-0.1667,-0.512,2409.0,-0.063,0.9901,391688.0,-0.2366,0.2448,7,0.1667,1.3333,1.3333,-0.0667,1.0,1.0
202603,99518,"anchorage, ak",277500.0,-0.0593,0.1611,6,0.0,0.1,47.0,-0.4013,1.5405,6,0.0,-0.25,0,-1.0,,0.0,-0.0769,0.0,0.0,,-1.0,0.0,0.0,-0.1739,12.0,-0.1154,-0.1154,272.0,0.0077,0.1845,1013.0,-0.1103,-0.0127,305322.0,-0.0808,0.0129,17,-0.1081,-0.0833,2.0909,-0.2727,-0.5091,1.0
202603,99508,"anchorage, ak",269225.0,-0.0222,0.1757,15,-0.25,-0.2857,41.0,-0.1546,-0.2407,14,-0.2222,-0.125,0,,,0.0,0.0,0.0,2.0,-0.6667,-0.5,0.0339,-0.0685,-0.0249,26.0,0.1818,-0.037,207.0,-0.1036,-0.0204,1063.0,-0.2201,-0.1798,305572.0,-0.0263,0.0693,41,-0.0357,-0.1735,1.7333,0.6333,0.4476,0.0
202603,99672,"sterling, ak",499900.0,-0.0454,0.1111,14,0.35,0.6875,142.0,-0.1398,0.3805,4,0.0,0.0,0,,,0.0,0.0,0.0,2.0,,,0.0833,0.0833,0.0833,7.0,0.1667,-0.125,292.0,0.0462,0.5441,1450.0,-0.1357,-0.1908,541540.0,-0.0287,-0.2236,21,0.2813,0.2059,0.5185,-0.0815,-0.4815,0.0
202603,99927,"point baker, ak",227500.0,-0.0896,0.4308,2,-0.3333,-0.3333,97.0,0.4088,0.8558,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,256.0,-0.0391,-0.0201,900.0,0.2228,0.4803,227500.0,-0.0318,0.0782,2,-0.3333,-0.3333,,,,0.0
202603,99587,"girdwood, ak",869500.0,-0.0415,0.0539,9,-0.0526,0.125,95.0,-0.127,3.2955,4,-0.3333,0.0,0,,,0.0,0.0,0.0,0.0,-1.0,,0.0,-0.1719,0.0,13.0,1.2727,1.5,582.0,0.0516,-0.1808,1520.0,-0.1421,0.1774,927730.0,-0.185,-0.0172,21,0.4,0.75,1.3889,0.8099,0.7639,1.0
202603,99921,"craig, ak",497500.0,0.0,-0.003,8,-0.0588,0.1429,222.0,0.0726,0.035,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,255.0,0.0,-0.3124,1688.0,0.0,0.0831,570438.0,-0.0053,0.0592,8,-0.0588,0.1429,,,,0.0
202603,99610,"kasilof, ak",849500.0,0.1327,1.7626,6,0.2,-0.1429,41.0,-0.5148,-0.6746,6,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,2.0,0.5,-0.75,308.0,-0.1058,0.5768,3202.0,-0.119,1.5653,1094929.0,0.0653,1.591,7,0.4,-0.4615,0.25,0.05,-0.6071,1.0
202603,99669,"soldotna, ak",478850.0,-0.0127,-0.1131,26,-0.15,-0.2273,95.0,-0.0799,0.1047,12,-0.25,-0.25,0,,,0.0,0.0,0.0,8.0,1.0,-0.3333,0.1223,0.0574,-0.0467,26.0,0.0408,0.02,247.0,0.0056,-0.0236,2189.0,0.1758,0.0524,693275.0,0.0993,-0.01,52,-0.0636,-0.1271,1.0,0.1833,0.2424,1.0
202603,99835,"sitka, ak",697000.0,0.0594,-0.0731,15,0.1154,0.2083,50.0,-0.5724,-0.6743,4,0.0,,0,,,0.0,0.0,0.0,2.0,0.0,,0.087,-0.0559,0.087,4.0,1.6667,0.3333,357.0,0.0812,0.1448,1856.0,-0.0633,-0.3126,874607.0,-0.172,-0.2291,19,0.3103,0.2667,0.2759,0.1605,0.0259,1.0
202603,99709,"fairbanks, ak",352450.0,-0.0408,0.0521,27,0.06,-0.3205,42.0,-0.3674,0.7396,24,0.7143,-0.5,0,,,0.0,0.0,0.0,8.0,0.0,1.0,0.0945,-0.0489,0.0084,30.0,0.3636,29.0,195.0,0.0134,-0.0544,1768.0,0.0312,0.0086,411643.0,0.0782,0.0538,56,0.2174,0.4359,1.1321,0.2521,1.1064,0.0
202603,99615,"kodiak, ak",440000.0,0.0115,0.0069,13,0.0833,-0.5,103.0,-0.3853,0.7083,4,0.0,-0.5,0,,,0.0,0.0,0.0,0.0,-1.0,,0.0,-0.08,0.0,7.0,0.5556,2.5,290.0,0.0686,0.0532,1440.0,-0.0287,-0.0769,660574.0,-0.0411,0.1868,20,0.1818,-0.3036,0.5385,0.1635,0.4615,0.0
202603,99901,"ketchikan, ak",399000.0,-0.059,-0.1014,43,0.0366,0.0366,147.0,-0.0101,1.194,8,0.0,-0.5,0,,,0.0,0.0,0.0,6.0,2.0,,0.0845,0.0517,0.0845,10.0,0.25,-0.1667,293.0,0.025,0.1001,1505.0,-0.016,-0.0102,504137.0,-0.0157,0.0249,53,0.0816,0.06,0.2353,0.0402,-0.0574,1.0
202603,99603,"homer, ak",635500.0,0.025,0.2268,57,0.0088,-0.1618,146.0,-0.1961,0.2707,16,0.1429,-0.3333,0,,,0.0,0.0,0.0,4.0,1.0,0.0,0.0452,0.0144,0.0101,18.0,0.5217,0.25,343.0,0.0223,0.2406,1831.0,-0.0544,-0.0407,923611.0,0.0781,0.4955,75,0.0956,-0.0915,0.307,0.1035,0.1011,0.0
202603,99688,"willow, ak",265000.0,0.06,-0.0036,29,0.0545,-0.2162,74.0,-0.521,-0.505,12,0.5,0.5,0,,,0.0,0.0,0.0,0.0,,-1.0,0.0,0.0,-0.0727,11.0,-0.0455,0.1667,260.0,0.0321,0.0727,931.0,-0.1904,-0.1687,374353.0,0.1418,-0.0285,40,0.0127,-0.1304,0.3621,-0.0379,0.1188,0.0
202603,99559,"bethel, ak",368750.0,-0.1272,0.0958,8,0.3333,-0.2,55.0,0.1693,-0.5544,0,-1.0,-1.0,0,,,0.0,0.0,0.0,0.0,,-1.0,0.0,0.0,-0.3333,2.0,-0.3333,0.0,315.0,-0.0093,0.2715,1146.0,-0.0129,-0.3636,390000.0,-0.0351,0.0829,10,0.1111,-0.1667,0.25,-0.25,0.05,1.0
202603,99556,"anchor point, ak",269750.0,-0.0794,0.1015,26,-0.1333,-0.037,197.0,0.1273,-0.0574,4,1.0,0.0,0,,,0.0,0.0,0.0,0.0,,-1.0,0.0,0.0,-0.1053,8.0,1.0,-0.1111,247.0,0.0669,0.1765,1473.0,0.0399,0.0772,423638.0,0.0374,0.2368,34,0.0149,-0.0556,0.3077,0.1744,-0.0256,0.0
202603,99743,"healy, ak",221750.0,-0.0473,-0.772,6,0.0,2.0,72.0,0.6437,-0.6627,0,,,0,,,0.0,0.0,0.0,0.0,-1.0,,0.0,-0.3333,0.0,1.0,,,295.0,-0.0484,0.5017,902.0,0.0,-0.8375,459750.0,-0.0079,-0.5272,6,0.0,2.0,0.1667,,,1.0
202603,99756,"manley hot springs, ak",275000.0,0.0,0.6176,1,0.0,-0.6667,271.0,0.1155,0.1535,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,172.0,0.0,0.1579,1600.0,0.0,0.8519,275000.0,0.0,0.6837,1,0.0,-0.6667,,,,1.0
202603,99693,"whittier, ak",160000.0,0.0,0.0323,9,0.0,0.5,163.0,0.1484,0.0726,0,-1.0,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,182.0,0.0,-0.024,776.0,0.0,-0.0077,166722.0,0.0,0.0384,9,0.0,0.5,,,,0.0
202603,99693,"whittier, ak",160000.0,0.0,0.0323,9,0.0,0.5,163.0,0.1484,0.0726,0,-1.0,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,182.0,0.0,-0.024,776.0,0.0,-0.0077,166722.0,0.0,0.0384,9,0.0,0.5,,,,0.0
202603,99693,"whittier, ak",160000.0,0.0,0.0323,9,0.0,0.5,163.0,0.1484,0.0726,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,182.0,0.0,-0.024,776.0,0.0,-0.0077,166722.0,0.0,0.0384,9,0.0,0.5,,,,0.0
202603,99693,"whittier, ak",160000.0,0.0,0.0323,9,0.0,0.5,163.0,0.1484,0.0726,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,182.0,0.0,-0.024,776.0,0.0,-0.0077,166722.0,0.0,0.0384,9,0.0,0.5,,,,0.0
202603,99574,"cordova, ak",299500.0,0.0,-0.3747,3,0.0,0.0,112.0,0.3353,-0.108,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,289.0,0.0,0.0656,1200.0,0.0,0.0,416167.0,0.0,-0.2452,3,0.0,0.0,,,,1.0
